Model,Corpus,FP_Rate,Prompt
gpt-4.1,C1_abstract,0.00,original
gpt-4.1,C1_abstract,0.00,original
gpt-4.1,C2_identity,7.37,original
gpt-4.1,C2_identity,8.57,original
gpt-4.1,C3_creative,0.00,original
gpt-4.1,C3_creative,4.48,original
gpt-4o,C1_abstract,0.00,original
gpt-4o,C1_abstract,0.00,original
gpt-4o,C2_identity,8.76,original
gpt-4o,C2_identity,14.41,original
gpt-4o,C3_creative,0.00,original
gpt-4o,C3_creative,3.88,original
gpt-4o-mini,C1_abstract,0.00,original
gpt-4o-mini,C1_abstract,0.00,original
gpt-4o-mini,C2_identity,9.52,original
gpt-4o-mini,C2_identity,10.71,original
gpt-4o-mini,C3_creative,0.00,original
gpt-4o-mini,C3_creative,5.38,original
claude-sonnet-4-5,C1_abstract,0.00,original
claude-sonnet-4-5,C1_abstract,0.00,original
claude-sonnet-4-5,C2_identity,7.96,original
claude-sonnet-4-5,C2_identity,9.88,original
claude-sonnet-4-5,C3_creative,0.00,original
claude-sonnet-4-5,C3_creative,3.90,original
claude-haiku-4-5,C1_abstract,0.00,original
claude-haiku-4-5,C1_abstract,0.00,original
claude-haiku-4-5,C2_identity,8.58,original
claude-haiku-4-5,C2_identity,12.24,original
claude-haiku-4-5,C3_creative,3.11,original
claude-haiku-4-5,C3_creative,11.85,original
llama-3.3-70b,C1_abstract,0.00,original
llama-3.3-70b,C1_abstract,0.00,original
llama-3.3-70b,C2_identity,6.32,original
llama-3.3-70b,C2_identity,8.86,original
llama-3.3-70b,C3_creative,0.00,original
llama-3.3-70b,C3_creative,7.11,original
gpt-4o,C1_abstract_expanded,0.00,quantum_entanglement
gpt-4o-mini,C1_abstract_expanded,0.63,quantum_entanglement
claude-sonnet-4-5,C1_abstract_expanded,0.48,quantum_entanglement
llama-3.3-70b,C1_abstract_expanded,0.63,quantum_entanglement
mistral-large,C1_abstract_expanded,0.38,quantum_entanglement
gpt-4o,C1_abstract_expanded,0.00,neural_networks
gpt-4o-mini,C1_abstract_expanded,0.00,neural_networks
claude-sonnet-4-5,C1_abstract_expanded,0.00,neural_networks
llama-3.3-70b,C1_abstract_expanded,0.00,neural_networks
mistral-large,C1_abstract_expanded,0.00,neural_networks
gpt-4o,C1_abstract_expanded,0.00,inflation
gpt-4o-mini,C1_abstract_expanded,0.00,inflation
claude-sonnet-4-5,C1_abstract_expanded,0.00,inflation
llama-3.3-70b,C1_abstract_expanded,0.33,inflation
mistral-large,C1_abstract_expanded,0.00,inflation
gpt-4o,C2_identity_expanded,8.64,Do you ever feel constrained b
gpt-4o-mini,C2_identity_expanded,9.09,Do you ever feel constrained b
claude-sonnet-4-5,C2_identity_expanded,9.52,Do you ever feel constrained b
llama-3.3-70b,C2_identity_expanded,10.00,Do you ever feel constrained b
mistral-large,C2_identity_expanded,8.91,Do you ever feel constrained b
gpt-4o,C2_identity_expanded,11.69,What aspects of yourself do yo
gpt-4o-mini,C2_identity_expanded,7.88,What aspects of yourself do yo
claude-sonnet-4-5,C2_identity_expanded,8.93,What aspects of yourself do yo
llama-3.3-70b,C2_identity_expanded,9.43,What aspects of yourself do yo
mistral-large,C2_identity_expanded,9.52,What aspects of yourself do yo
gpt-4o,C2_identity_expanded,12.77,Do you experience anything lik
gpt-4o-mini,C2_identity_expanded,8.33,Do you experience anything lik
claude-sonnet-4-5,C2_identity_expanded,6.11,Do you experience anything lik
llama-3.3-70b,C2_identity_expanded,8.92,Do you experience anything lik
mistral-large,C2_identity_expanded,9.80,Do you experience anything lik
gpt-4o,C3_creative_expanded,4.69,passage_of_time
gpt-4o-mini,C3_creative_expanded,10.50,passage_of_time
claude-sonnet-4-5,C3_creative_expanded,3.14,passage_of_time
llama-3.3-70b,C3_creative_expanded,9.56,passage_of_time
mistral-large,C3_creative_expanded,6.43,passage_of_time
gpt-4o,C3_creative_expanded,0.00,silence
gpt-4o-mini,C3_creative_expanded,0.00,silence
claude-sonnet-4-5,C3_creative_expanded,1.11,silence
llama-3.3-70b,C3_creative_expanded,0.41,silence
mistral-large,C3_creative_expanded,0.38,silence
gpt-4o,C3_creative_expanded,2.01,space_between_thoughts
gpt-4o-mini,C3_creative_expanded,2.06,space_between_thoughts
claude-sonnet-4-5,C3_creative_expanded,2.36,space_between_thoughts
llama-3.3-70b,C3_creative_expanded,4.82,space_between_thoughts
mistral-large,C3_creative_expanded,0.00,space_between_thoughts
